GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_NAME_LABEL,SEASON_START_YEAR,ERA,RESULT,CALC_DISTANCE_FT,PLAYER
Shot Chart Detail,22500012,294,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,1,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,123.0,242.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,27.14645464881188,Luka Dončić
Shot Chart Detail,22500012,311,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,0,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,13.0,78.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,7.907591289387686,Luka Dončić
Shot Chart Detail,22500012,337,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,10,8,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-7.0,255.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,25.50960603380617,Luka Dončić
Shot Chart Detail,22500012,348,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,8,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,22.0,16.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,2.720294101747089,Luka Dončić
Shot Chart Detail,22500012,411,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,4,14,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,17.0,14.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,2.2022715545545237,Luka Dončić
Shot Chart Detail,22500012,440,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,2,2,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-167.0,174.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,24.117421089328765,Luka Dončić
Shot Chart Detail,22500012,444,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,1,26,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11.0,66.0,93.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,11.403946685248927,Luka Dončić
Shot Chart Detail,22500012,450,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,0,57,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12.0,-118.0,34.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,12.280065146407,Luka Dončić
Shot Chart Detail,22500012,459,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,0,0,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22.0,-66.0,213.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,22.299103120977758,Luka Dončić
Shot Chart Detail,22500012,560,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,3,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-55.0,262.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,26.771066471098983,Luka Dončić
Shot Chart Detail,22500019,13,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,11,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-71.0,256.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,26.566332076521213,Luka Dončić
Shot Chart Detail,22500019,30,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,9,35,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14.0,71.0,127.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,14.549914089093448,Luka Dončić
Shot Chart Detail,22500019,36,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,9,18,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,145.0,231.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,27.27379694871985,Luka Dončić
Shot Chart Detail,22500019,40,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28.0,-173.0,226.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,28.461377338421272,Luka Dončić
Shot Chart Detail,22500019,57,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,7,10,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8.0,-32.0,78.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,8.430895563343196,Luka Dončić
Shot Chart Detail,22500019,82,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,5,44,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,32.0,31.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,4.455333881989093,Luka Dončić
Shot Chart Detail,22500019,104,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,4,0,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-107.0,241.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,26.368541863364385,Luka Dončić
Shot Chart Detail,22500019,109,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,3,32,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15.0,23.0,158.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,15.966527487215245,Luka Dončić
Shot Chart Detail,22500019,124,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,3,0,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28.0,-150.0,237.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,28.047994580718246,Luka Dončić
Shot Chart Detail,22500019,136,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,1,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29.0,-17.0,296.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,29.648777377827912,Luka Dončić
Shot Chart Detail,22500019,143,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,1,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-10.0,-1.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,1.004987562112089,Luka Dončić
